job_title,organization,location,job_description
Warehouse Worker Job in  function wrap(EL,Business Services - Other,46507,"COLLINS & COMPANY a distributer in Bristol, Indiana is in need of a Warehouse Worker.Must have experience in picking and packing orders, loading and unloading trucks, and operating a forklift. A qualified candidate will have a high school education or equivalent, and be able to speak, read and write in English. Candidate must be able to regularly lift up to 75 lbs, Must be accurate, thorough and detail oriented. Company provides health insurance, 401K and paid vacations. Must be able to pass pre-employment drug test. Please apply in person at:17880 Commerce Dr., Bristol, IndianaThis job listing brought to you by The Goshen News"
Alterra Pest Control Tech – Field Service Rep (Entry Level) Job in Sterling,Accounting and Auditing Services,"Sterling, VA","Applies company pesticide products to residential locations according to schedule and as needed based on service requests; calls customers to confirm scheduled services; completes required production forms; assists in sales to current customers. Responsibilities 1. Applies company pesticide products to residential locations according to schedule, safety procedures, label instructions, and as needed based on service requests. 2. Drives company vehicle to customers’ houses or places of business. 3. Calls customers to confirm scheduled services. 4. Responds on a timely basis to customers’ requests for telephone and in-person service calls. 5. Completes required production forms at end of daily route. 6. Maintains vehicle and equipment in clean and proper operating condition. 7. Assists in sales to current customers through contact on route. Education and Experience Requirements • High school diploma or general education degree (GED); or one to three months related experience and/or training; or equivalent combination of education and experience. Knowledge, Skills, and Abilities • Ability to read and comprehend simple instructions, short correspondence, and memos. • Ability to write simple correspondence. • Ability to effectively present information in one-on-one and small group situations to customers, clients, and other employees of the organization. • Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions and decimals. • Ability to compute rate, ratio, and percent and to draw and interpret bar graphs. • Maintains licenses/certificates as required by federal, state, or local regulations. • Maintains valid driver’s license. Disclaimer The above statements are intended to describe the general nature and level of work being performed by associates assigned to this classification. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. All personnel may be required to perform duties outside of their normal responsibilities from time to time, as needed. ServiceMaster is committed to Diversity and Inclusion. We encourage diverse candidates to apply to this position. An Equal Opportunity/Affirmative Action Employer – of Minorities/Females/Veterans/Disability"
GENERAL MANAGER/FAST CASUAL Job in Boston,Restaurant/Food Services,"Boston, MA","Exciting opportunities exists for  General Manager                                   Fast Casual or casual dining experienceHigh VolumeProvid exceptional serviceJoin a team that offers rapid growth opportunities with its commitment to quality of life in a performance driven environment. A minimum of five years experience required in a full service/high volume/ fine dining food operation with profit and loss operational awareness.Responsibilities include:Provide leadership and training of personnelOperation of an assigned locationTrain and develop employeesEnsure compliance of company’s guidelines and specifications financial progress and performance and helps to develop action plans accordingly.  Requirements5 years hands on experience working in a  fast casual or casual dining  restaurantStrong Leadership SkillsA desire for challenge and a talent for building high performance teamsOur clients are pleased to offer a competitive compensation and benefits package. Including the following:Benefits• 32 days paid time off (including 20 days paid vacation, 5 sick days and 7 holiday).• Guaranteed Bonus each Quarter (can earn up to 30% of their yearly salary in total).• Health Coverage – Health, Dental & Vision (eligible after 60 days)• 401K Retirement Plan (eligible after 90 days)• A great manager referral program (earn up to $5,100 per management referral).• Quarterly nationwide team events and Summer/End of Year Parties. • Free Food while on shift – including a 50% discount card for later. Bonus: 30% Salary Annual Total Bonus – 25% of Annual Total is given out each quarter (bonus is guaranteed each quarter – how much depends on the performance) – Eligible after completing your Manager in Training program."
Field Engineer II Job in Houston,"Houston, TX","Experis is seeking a Field Engineer with in depth experience with Nokia market upgrades and sector add experience, for our client in the Houston, TX area. This is a long term contract opportunity with the potential for extension or to move into a perm role upon successful completion of the contract. Job Title: Field Engineer IILocation: Houston, TX 77046Work Requirements: Must be eligible to work in the US; ability to pass a drug and background screeningCompensation: DOE medical and dental benefits availableResponsibilities / Expectations:Management of general contractor job quality, safety standards, and punch lists.Perform cell site audits after site is built to evaluate GC work qualityProvide reports to Construction ManagersInteract with outside governmental agencies, consultants and vendorsMaintain database of design walks, contacts, unique addressesCoordinate with utility companies for construction work and other situations as they ariseBuild and maintain superb relationship with clientDay to day completion of assigned work orders and trouble ticketsPerforming required maintenance on assigned sitesMonitoring site KPIs and troubleshooting with RF EngineerPerforming On Call duties at least one week per monthAddress defective Repair & Maintenance parts for marketOversee LTE deployment and integration of new technologies on assigned sitesRespond to Sales Team issues and customer complaintsDesired Experience:At least 3 years relevant experience required.Candidates experienced with Nokia market upgrades is a plus. ie- L700/L1900/ and sector add construction experienceExperis also has many other opportunities with this client in other markets.Experis is an Equal Opportunity Employer (EOE/AA)","Experis is seeking a Field Engineer with in depth experience with Nokia market upgrades and sector add experience, for our client in the Houston, TX area. This is a long term contract opportunity with the potential for extension or to move into a perm role upon successful completion of the contract. Job Title: Field Engineer IILocation: Houston, TX 77046Work Requirements: Must be eligible to work in the US; ability to pass a drug and background screeningCompensation: DOE medical and dental benefits availableResponsibilities / Expectations:Management of general contractor job quality, safety standards, and punch lists.Perform cell site audits after site is built to evaluate GC work qualityProvide reports to Construction ManagersInteract with outside governmental agencies, consultants and vendorsMaintain database of design walks, contacts, unique addressesCoordinate with utility companies for construction work and other situations as they ariseBuild and maintain superb relationship with clientDay to day completion of assigned work orders and trouble ticketsPerforming required maintenance on assigned sitesMonitoring site KPIs and troubleshooting with RF EngineerPerforming On Call duties at least one week per monthAddress defective Repair & Maintenance parts for marketOversee LTE deployment and integration of new technologies on assigned sitesRespond to Sales Team issues and customer complaintsDesired Experience:At least 3 years relevant experience required.Candidates experienced with Nokia market upgrades is a plus. ie- L700/L1900/ and sector add construction experienceExperis also has many other opportunities with this client in other markets.Experis is an Equal Opportunity Employer (EOE/AA)"
"CyberCoders Job Application for Construction Manager | Monster.com var MONS_LOG_VARS = {""JobID"":",Construction - Industrial Facilities and Infrastructure,Contact name Lindsay Effler Nichols,"Report this job About the Job If you are a Construction Manager with 5+ years related supervisory experience and local to the greater Asheville NC area, please read on!We are a small, design oriented design and construction firm with offices in Asheville, NC and Memphis, TN. Our team of architects, designers and construction professionals focus on highly crafted, detail oriented projects that include both residential and light commercial buildings and interiors. We are seeking to add to the leadership of our construction team with a seasoned superintendent that can direct the day to day operations of each construction project in Asheville, NC.What You Will Be Doing1.The Construction Manager coordinates all site construction activities and supervises all field personnel as required to successfully complete the project on schedule and within budget. This includes maintaining the highest quality, supervising all trade and field personnel, while administering good construction safety practices with all on-site activities.2.The project supervisor will communicate the quality standards expected of the sub-contractors throughout project duration specifically including a pre-construction conference and daily quality control standards to ensure the quality of construction is consistent with the Owner’s and Architect’s expectations for the project.3.Maintain onsite drawings and documentation.4.Scheduling of daily and weekly activities while also documenting all progress made.5.It is the supervisor’s responsibilities to turn in any invoices he may receive on a daily basis as well as code invoices based on company standard practice.6.A time log must be kept of the Supervisor’s time and submitted daily along with notes. This is to be done electronically.7.Focusing on client relationship building, they place high value in exceeding expectations with their superior workmanship and devotion to be the best.What You Need for this PositionMore Than 5 Years of experience and knowledge of:Minimum of 10 years in the residential construction industry.Minimum of 5 years as a full-time project supervisor.Ability to motivate staff and subcontractors, to lead by example, and stay on schedule.Bachelor’s degree a plus but not requiredAre leaders who prefer to work in a team-oriented atmosphere.Develop relationships with owners, designers, subcontractors and other trade partners.Are willing to learn new approaches and tools.Stay on the cutting edge of industry technology and have strong computer skills.What's In It for YouPaid HolidaysPaid VacationHealth Insurance ReimbursementSimple IRA retirement planDirect DepositSo, if you are a Construction Manager with experience, please apply today! Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×"
Attorney Job in Washington,Legal Services,"Washington, DC 20006","D.C. law firm with diverse practice areas including general business and corporate law, government contracts, labor and employment, and litigation, seeks attorney with 10 plus years general business and corporate experience. Corporate transactional experience across various industries and platforms and government contracting industry experience a plus; ability to work as a part of a team or independently with light supervision; detail-oriented individual, with strong writing and analytical skills. Send resume and cover letter."
Human Resource Administrative Assistant * HR Admin - up to $/hr Job in West Hollywood,Other/Not Classified,"Job Description:Golden opportunity for the career driven Administrative Assistant w/ HR background. Location: West HollywoodPay: up to $20/hr ***************3 MUST HAVES***************1.) 3+ years strong experience as an Administrative Assistant in an office environment. 2.) Able to work with different personalities and multi-task. 3.) 1+ year of experience approving timesheets for payroll We are an equal employment opportunity employer and will consider all qualified candidates without regard to disability or protected veteran status.Job Experience:,, MS Word/ExcelYears of Experience Required:","Job Description:Golden opportunity for the career driven Administrative Assistant w/ HR background. Location: West HollywoodPay: up to $20/hr ***************3 MUST HAVES***************1.) 3+ years strong experience as an Administrative Assistant in an office environment. 2.) Able to work with different personalities and multi-task. 3.) 1+ year of experience approving timesheets for payroll We are an equal employment opportunity employer and will consider all qualified candidates without regard to disability or protected veteran status.Job Experience:,, MS Word/ExcelYears of Experience Required:"
Monster,Engineering Services,"Job Code: #3463Title: Journeyman Research Program Manager (NAMRU)*Date Posted: 06/23/2016Job Location: Dayton Ohio Job Description:PRIMARY FUNCTION(S)The candidate will support research program management functions of multiple research projects. The candidate&rsquo;s work will deal extensively with Department of Defense medical research and development requirements, to include regulatory and budget requirements.RESPONSIBILITIES AND DUTIESSpecific Responsibilities include but are not limited to: &nbsp;Research Progress report writing and editing,Budget planning and reporting,Monitoring of project milestone completion,Preparation of multi-media presentation materials for research program reviews,Coordination and execution of research program related meetings.MINIMUM QUALIFICATIONSBachelor&rsquo;s Degree would be acceptable with related on the job experienceBackground in DoD ResearchOne to three years of experience in related project/program management functions, especially in the support of Department of Defense (DoD) research.PREFERRED QUALIFICATIONSMaster&rsquo;s Degree in a biomedical science or related fieldCertified Associate in Project Management (CAPM)Background in ScienceWORKING LOCATIONS &amp; ADDITIONAL INFOWright-Patterson AFB, OhioAll qualified candidates will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or status as a Vietnam era or special disabled veteran.#LI-POST","Report this job About the Job Job Code: #3463Title: Journeyman Research Program Manager (NAMRU)*Date Posted: 06/23/2016Job Location: Dayton Ohio Job Description:PRIMARY FUNCTION(S)The candidate will support research program management functions of multiple research projects. The candidate&rsquo;s work will deal extensively with Department of Defense medical research and development requirements, to include regulatory and budget requirements.RESPONSIBILITIES AND DUTIESSpecific Responsibilities include but are not limited to: &nbsp;Research Progress report writing and editing,Budget planning and reporting,Monitoring of project milestone completion,Preparation of multi-media presentation materials for research program reviews,Coordination and execution of research program related meetings.MINIMUM QUALIFICATIONSBachelor&rsquo;s Degree would be acceptable with related on the job experienceBackground in DoD ResearchOne to three years of experience in related project/program management functions, especially in the support of Department of Defense (DoD) research.PREFERRED QUALIFICATIONSMaster&rsquo;s Degree in a biomedical science or related fieldCertified Associate in Project Management (CAPM)Background in ScienceWORKING LOCATIONS &amp; ADDITIONAL INFOWright-Patterson AFB, OhioAll qualified candidates will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or status as a Vietnam era or special disabled veteran.#LI-POST Report"
"Gourmet Foods International Job Application for Warehouse Associate | Monster.com var MONS_LOG_VARS = {""JobID"":",Manufacturing - Other; Wholesale Trade/Import-Export,"Address 275 Ted Turner Dr SWAtlanta, GA","Report this job About the Job WHO WE ARE Gourmet Foods International was built on a true passion for fine foodwhich has driven our company to become a leading specialty food supplier in thenation. Started in1967 by Russell McCall, Gourmet Foods was no more than a single cheese and wineshop. We now have warehouses nationwide to help achieve our goal of aligningcommunities through food.Ourphilosophy is based on the idea that food is a universal connector. We haveworked to keep a strong focus on supporting small producers and bringing theirhand-crafted, healthy, and environmentally conscious products to consumersacross the nation.OUR PRODUCTS A remarkable specialty food program features top qualityproducts, offered with extraordinary freshness and variety. We distribute over10,000 gourmet products across the US with strong leadership in most specialtycheese categories. GourmetFoods prides itself on cultivating strong relationships with vendors whichinclude many small producers and traditional cheesemakers. Our product selectionincludes a large number of artisan goods from all across the country as well asimported items from around the world.CORE VALUES Through our values we strive to develop customerand employee loyalty while generating long-term profitable and sustainablegrowth.• We createa bridge between producers, customers, and consumers by bringing qualityproducts to new and expanding markets • Wepromote an energetic climate of purpose and innovation. • We recognize our social responsibility to give back to our communitiesthrough outreach and sustainable business practices.HOW WE TAKE CARE OF OUR TEAM MEMBERS We have long believed in sharing success with people whohelp create it by offering excellent benefits to our team members.Insurance BenefitsMedical InsuranceDental InsuranceVision InsuranceLife InsuranceShort Term and Long Term DisabilityRetirement Investment Plans401(k) and Roth 401(k) with matching contributionsProfit SharingCompetitive SalariesFlexible Paid Time Off(PTO)Professional DevelopmentTuition ReimbursementProfessional Development ProgramsOpportunity to Grow within the CompanyRelocationSUMMARYResponsible for general warehouse dutiesRESPONSIBILITIES AND DUTIES include the following. Other duties may be assigned.Scanning in productEnsure no damage to productCheck shelf life of product within guidelinesPull correct items and quantity of to fill customer ordersEnsure product is packaged properly for optimal shippingTag items with proper labelsUnload product from truck and break down productFollow implemented guidelines for ordersMaintain work environmentMaintain the safety, quality, and legality of food products. WORKSKILLS: Excellent communication skills, ability to follow directions and meet deadlines and be able to work under minimal supervision.EXPERIENCE: Previous RF experience a plusQUALIFICATIONS: EDUCATION: High School Diploma or GED preferredPHYSICAL DEMANDS: Mustbe able to lift up to 75 lbs. Carry up to 50 lbs. Push/Pull up to 30 lbs. offorce. Ascend and descend a step with a height of 10 in. From the floor. Ableto work in cold environment for an extended period of timeWORK ENVIRONMENT: Warehouse environment. Report"
Registered Nurse (RN) Job in Liberty,Healthcare Services,"Liberty, TX 77575"," Primary functions are to coordinate patient care with the interdisciplinary team including physician, patient/family and referring agency; and administer skilled nursing care for clients of all ages in their place of residence.  Qualifications:Graduate of an accredited diploma, Associate or Baccalaureate School of Nursing.Current state license as a Registered Nurse, Current state Driver’s License.One year experience as a registered nurse, two preferred.Proof of current CPR and Hepatitis consent/declination.Reliable transportation with valid and current auto liability insurance. Functions:Case manages and provides clinical directions to the interdisciplinary team, physician, and family.Implement/develop/document the plan of care.Provide care utilizing infection control measures that protect both the staff and the patient (OSHA).Assess home health patients to identify the physical, psycho social and environmental needs as evidenced by documentation, clinical record, case conference, team report and evaluations.Assure continuity of quality patience care delivered with appropriate documentation.Monitor assigned cases to ensure compliance with requirements of third party payer.Promote Agency philosophy and administrative policies.Perform on-call responsibilities and provide on-call service to patients/families as assigned.Supervise and provide direction to the home health aide and LVN/LPN.Demonstrate commitment, professional growth, and competency. We Offer:Low Nurse/Patient ratio!Excellent pay structure!Full benefits including Health and Dental, Life Insurance and 401K!Extensive training and paid time off! "
Field Sales Supervisor Job in Plano,Business Services - Other,"Plano, TX","TruGreen is committed to providing personalized attention for our associates. We focus on developing our people by building proud, dynamic teams while helping associates reach their personal and professional goals. We continuously strive to make TruGreen an employer of choice and ""a great place to work!""Position OverviewResponsible for managing the activities and improving the sales performance of two (2) or more neighborhood sales associates. Leads the team in prospecting, developing and closing sales in defined geographic areas. Coaches and mentors sales team efforts. Collaborates with sales team members to acquire new customers and retain existing customers.Responsibilities1. Assists in recruiting and selecting the appropriate personnel to efficiently staff the sales function and provides for their on-going training and development.2. Assists in determining work procedures, prepares work schedules and expedites workflow.3. Assists in evaluating associate performance, makes salary recommendations and administers disciplinary actions consistent with company policy.4. Assists in establishing sales goals with each sales representative and monitors progress toward goals. Ensures marketing/sales calls are performed to meet sales goals as established by branch sales plans and retention standards.5. Ensures individual and team productivity and sales results are accurately recorded daily. Monitors results of sales plans and takes immediate corrective action when results fall short of sales goals. Communicates results and activities daily to Branch Sales Manager.6. Studies and standardizes procedures to improve efficiency of subordinates. Ensures effective work environment adjusting for errors and complaints.7. Performs or assists subordinates in performing duties by selling programs and services to existing and prospective customers through means of traveling around assigned territory.8. Conducts lawn analysis, advises customers of problems with lawn and landscape and determines appropriate solution. Determines pricing by measuring and calculating square footage to branch price list.9. Estimates date of service to customer based on knowledge of branch production and service schedules.10. Conducts follow-up of leads through means of person-to-person contact to identify customer needs.Education and Experience Requirements• High School Diploma or general education degree (GED) or four or more (4) years senior level or lead experience or equivalent combination of education and experience• Bachelors Degree preferred• Two (2) to three (3) years experience in outside sales preferred• Certification as required by federal, state or local lawKnowledge, Skills, and Abilities• Ability to lead and influence others• General knowledge of the industry, organization, products, and/or services• Knowledge of selling techniques (prospecting, cold-calling, overcoming objections, closing sales, etc.)• Ability to find and assess potential sales opportunities• Ability to build customer relationships and provide appropriate levels of customer service• Demonstrated success in building and leading a sales team• Strong communication (verbal and written) skills• Ability to travel locally on an extensive basisTruGreen is committed to Diversity and Inclusion.  We encourage diverse candidates to apply to this position.We are an Equal Opportunity/Affirmative Action Employer - Minorities/Females/Protected Veterans/Individuals with DisabilitiesTo learn more copy and paste this URL into your browser: http://www.eeoc.gov/employers/upload/poster_screen_reader_optimized.pdfTruGreen performs pre-employment testing.DisclaimerThe above statements are intended to describe the general nature and level of work being performed by associates assigned to this classification. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. All personnel may be required to perform duties outside of their normal responsibilities from time to time, as needed."
Senior Backup Support Technician Job in Boston,Computer SoftwareComputer/IT Services,"Boston, MA","Senior Backup Support TechnicianSenior Backup Support TechnicianOur client, a technology services provider based outside of the city is seeking a Senior Backup Support Technician to join their growing team! This company really values their employees, and they want you to become an integral part of the organization. Do you want to work in an environment that has many perks and a great culture? The Senior Backup Support Technician will be working with leading-edge technologies to proactively monitor and administrate custom-designed Data Protection architecture, supporting technologies implemented across a wide range of environments. This is an opportunity to solve new challenges every day and gain first-hand insight into the ever-growing industry shift to cloud and managed services data protection services- qualified applicants, APPLY TODAY!! Qualifications: Minimum of Associates' degree in Information Technology and 5 years' experience administrating Enterprise Backup and Data Protection technologiesStrong experience in Veritas NetBackup administration (including appliance hardware) - related certifications highly desiredExperience with EMC DataDomain Appliances in various configurationsConfident in performing Disaster Recovery of NetBackup environmentStrong experience troubleshooting issues involving HPUX, Red Hat Enterprise Linux, VMware and Windows ServerFamiliarity with: HPUX; RedHat Enterprise Linux; EMC NetWorker; Veritas NetBackup; Veeam; Zerto; SolarWinds; VMware vSphere; APTARE; and Windows Server, Group Policy, and Active DirectoryAnalytical, creative troubleshooting skills, including testing and implementing resolutionsFluent in MS Windows and Office suiteStrong communication skills, both written and verbal- especially when explaining technical concepts to a non-technical audienceStellar customer service skills, especially in efficient issue resolution/escalation/resolution follow-upAbility to manage multiple projects concurrently, prioritizing them according to urgencyWE ARE ONLY ABLE TO CONSIDER IN-STATE CANDIDATES FOR THIS POSITION.GD123 Hollister Staffing and all its related entities provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status or other categories protected by applicable federal, state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training."
RESTAURANT MANAGER Job in Independence,Restaurant/Food Services,"Independence, MO 64054","Little Caesars Pizza is one of the top pizza chains in the world.  As an independent franchisee of Little Caesars, we are proud to be part of an international chain that has been around for over 57 years. We are currently looking for a Restaurant Manager in your area.  As a Restaurant Manager you will be responsible for building and supervising a team that achieves Little Caesars goals of customer satisfaction, sales, and profitability and operate the restaurant according to the standards and procedures outlined in the Operations Manual. Our preferred candidate should have a minimum of two (2) years experience in a management role, in a quick or full-service restaurant or retail establishment.  The candidate should have a working knowledge of local store marketing techniques, sales building, and a proven track record of controlling costs. The candidate should possess strong management, team building, and communication skills.  The candidate should have the knowledge of how to read and analyze profit and loss statements. The candidate should have the ability to work a varied, 50-hour work week (including evenings and weekends) effectively under pressure and in stressful situations.  Candidates should be able to perform all the essential functions of the job.  A valid driver’s license is required from the state of residence with a driving record maintained within company guidelines and a reliable vehicle and auto insurance as a primary to complete daily banking responsibilities as required. If you have what we are looking for, then we invite you to apply today.  We look forward to speaking with you further about the benefits of working here.  We are an Equal Opportunity Employer  This position is being offered by a Little Caesars franchisee, which is a separately owned and independently operated business.  The franchisee is solely responsible for all employment decisions, including, without limitation, those relating to hiring and hiring criteria, termination, remuneration, personnel policies, benefits, record keeping, supervision, and discipline."
Pyramid Healthcare Positions Job in Altoona,Healthcare Services,"Altoona, PA 16602","Pyramid Healthcare, Inc. is looking to fill the following positions:Behavioral Health Technicians - Part-Time & PRN Maintain safe, orderly, & therapeutic environment for clients, including crisis intervention, at either an inpatient or halfway house setting. Coordinate activities, lectures, recreation, & meetings. Transport clients. HS Diploma/GED & a valid Driver's License required. Various positions available. Email resumes to rtoney@pyramidhc.comDUNCANSVILLE INPATIENT FACILITY:Dietary Worker - Part-TimePrepare food, stock supplies, assist lead cook, serve meals, & maintain clean work area. Previous food service experience preferred. Email resumes to dclapper@pyramidhc.com RN/LPN - Part-TimeNursing assessments, transfers, discharges, treatment plans, progress notes, medication reconciliation, medication administration, vitals, knowledge of detox protocols, assist medical doctor as needed, provide medical lectures. Report any unusual occurrences. Ensure appropriate room assignments. Current PA LPN/RN license required. Email resumes to mglunt@pyramidhc.com2nd Shift Charge Nurse - Full-TimeSupervise nursing staff. Communicate & assist with admissions, discharges & pre-certifications. Ensure the delivery of quality nursing care to all clients. Instruct & guide subordinates in client care. Strong background in supervisory duties, HIPPA, & state licensing regulations. Strong leadership & management skills. Mon-Fri. Must have current PA RN license. Email resumes to mglunt@pyramidhc.com1st Shift Counselor & 2nd Shift Float Counselor - Full-TimeDevelop treatment planning goals. Evaluate behavioral & emotional needs. Perform individual & group therapy. Manage client files. Maintain client caseload daily. Bachelor's degree in a human services related field with 1 year of clinical experience required. Email resumes to bweyant@pyramidhc.com Housekeeper - Full-Time Permanent & Full-Time TemporaryMaintain a clean facility. Daily laundry. Restock supplies. Previous housekeeping experience preferred. Permanent position is Mon-Fri. 5am-1:30pm. Temp. position is Sun-Thurs., 5am-1:30pm, for approx. 6 weeks. Email resumes to mscherden@pyramidhc.comCORPORATE OFFICE:Needs Assessment Coordinators - Full-Time & Part-TimeServe as the first point of contact for clients seeking treatment. Determine appropriate level of care. Maintain documentation of all calls & services received. Data entry of assessment & admission. Month-end reports. Organize transportation. Bachelor's degree in human services preferred. Requires some evening & weekend hours. Email resumes to dglunt@pyramidhc.com For detailed job descriptions, or to apply online, please visit www.pyramidhealthcarepa.com/employment EOEClick Image to View Adprovided by The Altoona Mirror"
Technical Writer (Junior) Job in North Bend,"North Bend, WA 98160",Technical Writer (Junior),"Your IT skills are needed just about anywhere. But is it where you want to go? Imagine working for one of the nation's most respected companies. Making a strategic contribution. Receiving the rewards and recognition you deserve. Whether you are pursuing a contract or permanent placement, Experis knows how and where to get you where you want to go.Are you interested? The ideal Technical Writer candidate will possess the following experience:Understand programming languages (Java, Javascript, Objective C or Swift)Understand Application Programming InterfacesTechnical writing documenting RESTful API and URL schemes Develop SDK documentation for the client's Secure Mobile Access platform. This is a new SDK and requires a writer who has experience creating SDK technical collateral. You can see it. More challenging work. A more interesting work environment. The opportunity to use your finely honed skills to make a real difference. And to collect pay that reflects your talent and expertise. If this is what you see for yourself, you need to talk to Experis.Through our reach and resources, Experis brings you career options you couldn't find on your own. We're experts at placing each of our candidates into his/her ""dream job"" - one perfectly matched to skills, ambition and lifestyle.We've got the right opportunity. Tell us why you're the right person. Apply today!Experis is an Equal Opportunity Employer (EOE/AA)"
Full Time - Manager Trainee - No Weekends Job in Columbus,All,"Columbus, OH","Job Description Are you ready to turn your experience and competitive drive into a rewarding long-term sales and marketing career? We have just the opportunity for you! Join the largest provider of outsourced sales services in North America. Since 2009, we have been recognized as the most trusted name in customer acquisition, serving both FORTUNE 500® and emerging companies from our offices throughout the United States. We are currently looking for motivated, entrepreneurial individuals just like you to serve as Sales and Marketing Associates. In this entry level position, you will learn to play a key role in acquiring new clients and developing campaigns to expand into new markets. This will entail meeting face-to-face with both new and existing business customers.  You will receive comprehensive training to hone your skills and ensure your ongoing success with us. More than just another job, this is a fantastic opportunity to establish yourself and build a career in this globally expanding industry. If this sounds like the kind of career move that you’ve been looking to make, and if you meet our qualifications, we want to hear from you. Contact us today! Here is just some of what we have to offer: ·         A fast-paced, fun work environment·         Performance-based career advancement opportunities·         Health benefits·         Continual industry education·         Personal and professional growth·         Hands-on paid training·         An opportunity to start a career in a fast growing industry  Job Responsibilities As a Sales and Marketing Associate, you will be provided with some of the best training tools in the industry, to help you to become even better at what you do. No matter what your strengths and specific areas of experience may be, our ongoing training program will help you to reach and remain at the top of your game. We will help you to expand your expertise in the following areas:  ·         Business Management·         Leadership Development·         Priority/Time Management·         Business/Organizational Development·         Financial Management·         Sales and Marketing·         Coaching and Development of others  Job Requirements If you have the drive, the personality and the persistence that makes for a solid Sales and Marketing Associate, we have all of the career opportunities that you could ever hope to take advantage of. Successful candidates for this role have come to us from a variety of different backgrounds. As long as you have a passion for working with both new and existing clients and a strong willingness to learn, we can teach you the rest! Here is what we’re looking for in a top candidate: ·         Strong communication skills·         Great work ethic·         Student mentality·         Desire to grow personally and professionally·         Upbeat, optimistic attitude·         Competitive nature or athletic background·         Leadership capabilities·         College degree preferred, but not required"
Proposal Writer Job in Dallas,Computer Software,"Dallas, TX 75201","At ACTIVE Network, we are building solutions for all types of activity organizations helping them automate, simplify, and grow their businesses.  Our cloud technology powers business events and conferences, community programs, parks departments, local attractions, faith-based organizations, sports events, and outdoor activities.  We deliver technology that changes the way the world gets active.  But ACTIVE is more than a technology company.  It’s a company of passionate people that live to be ACTIVE.  We are inspired by our customers.  We are fueled by challenge.  As a member of the ACTIVE team, you must embrace our exciting work-hard, play-hard environment and bring your passion, dedication and creativity each and every day.  ACTIVE’s team members are focused on results and committed to excellence.  Together, we are making the world a more ACTIVE place. As a Proposal Writer, you will coordinate the production of proactively winning proposals and responses to client and prospect requests (e.g., RFP, RFQ, RFI). You will assist in analyzing incoming requests; coordinating internal flow of information, resources, and proposal inputs; and ensuring the integrity and compliance of all proposal documentation and submissions. This position requires an engagement in customer needs as well as a high level understanding of solution selling in a SaaS/Government Services environment.  A positive, collegial attitude and high level of professionalism are essential for this position to coordinate internal processes and meet external facing requirements.     Responsibilities: Crafting persuasive, winning, commercial and government focused sales proposals Managing aspects of the proposal process Creating proposal outlines Organizing responses from internal stakeholders Identifying needed information and gathering information from SMEs Ensuring compliance reviews Critically editing and proofreading content Contributing to the content management repository Facilitating other requests as required Qualifications & Experience: At least two years of experience writing proposals Bachelor’s degree or applicable experience in relevant field Experience in software and services solutions strongly desired High degree of proficiency with advanced features of the Microsoft Office Suite (Word, PowerPoint, Excel) and Adobe Acrobat Professional Extremely flexible schedule necessary to work the hours needed to meet non-negotiable deadlines without losing effectiveness or quality Possesses strong oral and written communications skills Possesses strong knowledge of internet and software technologies with ability to effectively communicate with technical subject-matter experts and translate into non-technical material Requires an attitude for doing whatever work it takes to get the job done well Requires above average facilitation, organization, and project management skills Requires analytical and decision-making skills Requires proactive nature with ability to solve problems with a sense of urgency Is a self-starter able to manage work independently and set high standards for work performance Is able to effectively manage internal business relationships with a variety of subject matter experts and internal customers Pays close attention to quality and accuracy Has a willingness to work overtime on nights and/or weekends to complete projects, if necessary   ACTIVE Network Perks & Benefits Health, Vision, Dental, Pet Insurance, and 401K State-of-the-art office space in Downtown Dallas On-site yoga classes, groups runs, Daily Dose workouts and training programs through our ACTIVEx Corporate Wellness Program Give back with the ACTIVEx Charity Challenge partnership with ‘Kids in the Game’ Discounts and deals on races, events, activities, and top retailers Active Network is an equal opportunity employer.  Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, or protected veteran status. "
